ID de la cuenta;Estado de la cuenta;Imprimir (total);Imprimir (a todo color);Imprimir (a todo color) - Nivel 1;Imprimir (a todo color) - Nivel 2;Imprimir (a todo color) - Nivel 3;Imprimir (un solo color);Imprimir (blanco y negro);Copia (total);Copia (a todo color);Copia (a todo color) - Nivel 1;Copia (a todo color) - Nivel 2;Copia (a todo color) - Nivel 3;Copia (un solo color);Copia (blanco y negro);Recibir FAX;Escanear (total);Escanear (copia);Escanear (FAX);Escanear (en otro);Páginas de transmisión de FAX;Tiempo de transmisión del FAX;Marca de tiempo
"3005";"Normal";"304";"";"";"";"";"";"304";"43";"";"";"";"";"";"43";"0";"27";"24";"0";"3";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"3019";"Normal";"0";"";"";"";"";"";"0";"3";"";"";"";"";"";"3";"0";"2";"2";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"3107";"Normal";"18";"";"";"";"";"";"18";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"3146";"Normal";"132";"";"";"";"";"";"132";"13";"";"";"";"";"";"13";"0";"7";"7";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"3333";"Normal";"0";"";"";"";"";"";"0";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"3566";"Normal";"273";"";"";"";"";"";"273";"7";"";"";"";"";"";"7";"0";"117";"7";"0";"110";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"3824";"Normal";"34";"";"";"";"";"";"34";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"4012";"Normal";"248";"";"";"";"";"";"248";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"4013";"Normal";"0";"";"";"";"";"";"0";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"4061";"Normal";"487";"";"";"";"";"";"487";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"4086";"Normal";"128";"";"";"";"";"";"128";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"4163";"Normal";"125";"";"";"";"";"";"125";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"4210";"Normal";"46";"";"";"";"";"";"46";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"4312";"Normal";"11";"";"";"";"";"";"11";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"4321";"Normal";"0";"";"";"";"";"";"0";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"4423";"Normal";"0";"";"";"";"";"";"0";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"4523";"Normal";"84";"";"";"";"";"";"84";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"4775";"Normal";"41";"";"";"";"";"";"41";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"4858";"Normal";"0";"";"";"";"";"";"0";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"5020";"Normal";"194";"";"";"";"";"";"194";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"5467";"Normal";"267";"";"";"";"";"";"267";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"5648";"Normal";"134";"";"";"";"";"";"134";"0";"";"";"";"";"";"0";"0";"10";"0";"0";"10";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"6001";"Normal";"128";"";"";"";"";"";"128";"2";"";"";"";"";"";"2";"0";"2";"2";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"6025";"Normal";"141";"";"";"";"";"";"141";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"6028";"Normal";"64";"";"";"";"";"";"64";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"6034";"Normal";"259";"";"";"";"";"";"259";"0";"";"";"";"";"";"0";"0";"1";"1";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"6037";"Normal";"0";"";"";"";"";"";"0";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"6048";"Normal";"0";"";"";"";"";"";"0";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"6076";"Normal";"261";"";"";"";"";"";"261";"1";"";"";"";"";"";"1";"0";"1";"1";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"6088";"Normal";"0";"";"";"";"";"";"0";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"6092";"Normal";"32";"";"";"";"";"";"32";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"6097";"Normal";"6";"";"";"";"";"";"6";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
